_id,draft_year,birthYear,height,salary,PER,PTS,TS%,MP,OWS,DWS,WS/48,FG%,AST,T,draft_team_Atlanta Hawks,draft_team_Boston Celtics,draft_team_Charlotte Bobcats,draft_team_Charlotte Hornets,draft_team_Chicago Bulls,draft_team_Cleveland Cavaliers,draft_team_Dallas Mavericks,draft_team_Denver Nuggets,draft_team_Detroit Pistons,draft_team_Golden State Warriors,draft_team_Houston Rockets,draft_team_Indiana Pacers,draft_team_Kansas City Kings,draft_team_Los Angeles Clippers,draft_team_Los Angeles Lakers,draft_team_Memphis Grizzlies,draft_team_Miami Heat,draft_team_Milwaukee Bucks,draft_team_Minnesota Timberwolves,draft_team_New Jersey Nets,draft_team_New Orleans Hornets,draft_team_New Orleans Pelicans,draft_team_New Orleans/Oklahoma City Hornets,draft_team_New York Knicks,draft_team_Oklahoma City Thunder,draft_team_Orlando Magic,draft_team_Philadelphia 76ers,draft_team_Phoenix Suns,draft_team_Portland Trail Blazers,draft_team_Sacramento Kings,draft_team_San Antonio Spurs,draft_team_San Diego Clippers,draft_team_Seattle SuperSonics,draft_team_Toronto Raptors,draft_team_Utah Jazz,draft_team_Vancouver Grizzlies,draft_team_Washington Bullets,draft_team_Washington Wizards,position_Center,position_Point Guard,position_Power Forward,position_Shooting Guard,position_Small Forward
abdulta01,1997.0,1974.0,198.0,3012237.777777778,9.655555555555555,289.44444444444446,0.40344444444444444,735.7777777777778,-0.08888888888888889,0.6666666666666666,0.005333333333333334,0.3582222222222222,40.77777777777778,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
adamsst01,2013.0,1993.0,213.0,2423849.25,14.325,585.75,0.575,1842.75,2.575,2.375,0.1275,0.55775,64.25,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
aldrico01,2010.0,1988.0,211.0,2121674.0,12.816666666666668,102.16666666666667,0.5558333333333333,344.5,0.21666666666666667,0.48333333333333334,0.09433333333333332,0.5313333333333333,16.666666666666668,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
alexaco02,2000.0,1977.0,185.0,1378776.0,11.1,461.6,0.4774,1089.8,0.48,0.52,0.0364,0.413,57.8,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
alexajo01,2008.0,1986.0,203.0,2493240.0,6.449999999999999,141.0,0.3835,372.5,-0.15,0.35,0.03,0.2915,22.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
allenra02,1996.0,1975.0,203.0,5057472.0,18.639999999999997,1435.0,0.5648,2747.4,6.540000000000001,1.6200000000000003,0.1416,0.44860000000000005,285.2,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
aminual01,2010.0,1990.0,206.0,2589552.8,12.299999999999999,479.0,0.5038,1681.2,0.39999999999999997,1.8799999999999997,0.06520000000000001,0.4332,80.4,True,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
anderde01,1997.0,1974.0,196.0,2512928.0,16.26,857.0,0.5364000000000001,1947.4,3.2399999999999998,1.9799999999999998,0.124,0.4128,221.8,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
anderni01,1989.0,1968.0,198.0,1236250.0,16.424999999999997,1259.25,0.523,2476.25,2.8499999999999996,2.65,0.10200000000000001,0.46425,207.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
anderwi01,1988.0,1967.0,201.0,1018750.0,13.025000000000002,879.5,0.49825,1944.75,0.8750000000000001,2.35,0.0625,0.46,277.75,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
