_id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight
bakerla01,"November 11, 1969","Dayton, Ohio",0,0,,,1,-46.6,0,0,-0.1,0,Ohio State University,,,,,06-Jan,"Paul Laurence Dunbar in Dayton, Ohio",LaMark Baker,Point Guard,Right,175lb
bakerma01,"July 28, 1979","Granite City, Illinois",0.2,0,,,5,-0.2,0,0.4,0,0,Oklahoma State University,,,,,06-Jan,"Madison in Madison, Illinois",Maurice Baker,Point Guard,Right,175lb
biedeed01,"August 12, 1945",,0.4,0,,66.7,7,2.7,0.6,0.3,-0.1,,North Carolina State University,96th overall,9th round,St. Louis Hawks,1967,06-Jan,"Edgewood in Edgewood, Pennsylvania",Ed Biedenbach,Guard,Right,175lb
goldfbe01,"September 6, 1913",,0,0,,50,2,,1,,0,,George Washington University,,,,,06-Jan,,Ben Goldfaden,Forward,Right,185lb
jacksal01,"July 29, 1943","Cleveland, Ohio",0.5,0,,,2,-9.2,0,0,-0.1,,Wilberforce University,,,,,06-Jan,"Benedictine in Cleveland, Ohio",Al Jackson,Guard,Right,185lb
lucaska01,"May 24, 1989","Sterling Heights, Michigan",0.5,0,0,100,2,8,1,1.5,0,0,Michigan State University,,,,,06-Jan,"St. Mary's Preparatory in Orchard Lake, Michigan",Kalin Lucas,Point Guard,Right,195lb
phelaja02,"March 19, 1929","Philadelphia, Pennsylvania",0.5,0,,50,4,-4.8,0.8,1.3,-0.1,,La Salle University,77th overall,8th round,Philadelphia Warriors,1951,06-Jan,"La Salle College in Philadelphia, Pennsylvania",James Phelan,Guard,Right,175lb
smartke01,"September 21, 1964","Baton Rouge, Louisiana",1,0,0,100,2,0,1,0.5,0,0,Indiana University,41st overall,2nd round,Golden State Warriors,1988,06-Jan,"McKinley in Baton Rouge, Louisiana",Keith Smart,Point Guard,Right,175lb
crowbi01,"December 9, 1940",,0,12.5,,25,1,-12.3,3,2,-0.2,12.5,Westminster College of Utah,,,,,06-Jan,,Bill Crow,Guard,Right,180lb
wellsra01,"September 3, 1940",,2.3,14.3,,0,3,-0.2,0.7,2,-0.2,,Northwestern University,,,,,06-Jan,"Marshall in Chicago, Illinois",Ralph Wells,Guard,Right,180lb
raderho01,"March 29, 1921",,1.1,15.6,,30,13,,1.3,,-0.6,,Long Island University,,,,,06-Jan,,Howie Rader,Guard/Forward,Right,190lb
deutsda01,"May 13, 1945","Brooklyn, New York",0.8,16.7,,45,19,2.4,1.1,1.1,-0.5,,University of Rochester,98th overall,12th round,New York Knicks,1966,06-Jan,"Flushing in Flushing, New York",Dave Deutsch,Guard,Right,170lb
whitask01,"August 29, 1930",,0.3,16.7,,,3,-8.7,0.7,0.3,-0.1,,University of Kentucky,,1952 NBA Draf,Indianapolis Olympians,,06-Jan,"Sarasota in Sarasota, Florida",Skippy Whitaker,Point Guard,Right,180lb
rayji01,"January 12, 1934",,0.6,17.6,,60,8,0,1.1,0.6,-0.2,,University of Toledo,,1956 NBA Draf,Syracuse Nationals,,06-Jan,,Jim Ray,Guard,Right,180lb
oshiega01,"May 23, 1921",,0.1,18.2,,0,9,,0.4,,-0.1,,University of Tennessee,,,,,06-Jan,,Garland O'Shields,Guard/Forward,Right,195lb
beckemo01,"February 24, 1917",,0.7,19.6,,50,43,,3.8,,-2.4,,Duquesne University,,,,,06-Jan,,Moe Becker,Guard/Forward,Right,185lb
murphdi01,"March 10, 1921",New York,0.3,20,,44.4,31,,1.1,,-0.5,,Manhattan College,,,,,06-Jan,"St. Agnes in College Point, New York",Dick Murphy,Guard,Right,175lb
callato01,"June 2, 1921","Stamford, Connecticut",0.3,20.7,,41.7,13,,1.3,,-0.1,,Rockhurst University,,,,,06-Jan,,Tom Callahan,Guard,Right,180lb
stolkar01,"October 23, 1920",Michigan,1.7,22,,68.2,23,,4.4,,1.6,,University of Detroit Mercy,,,,,06-Jan,"Holy Redeemer in Detroit, Michigan",Art Stolkey,Guard,Right,180lb
belltr01,"November 10, 1980","Minneapolis, Minnesota",0.7,22.2,0,100,6,-4.5,1.8,0.7,-0.2,22.2,Boston College,16th overall,1st round,Boston Celtics,2003,06-Jan,"Academy of Holy Angels in Richfield, Minnesota",Troy Bell,Point Guard,Right,180lb
calipde01,"November 18, 1969","Flint, Michigan",1.7,22.2,20,66.7,7,1.8,1.6,0.7,-0.2,25,University of Michigan,,,,,06-Jan,"Flint Northern in Flint, Michigan",Demetrius Calip,Point Guard,Right,165lb
krauthe01,"November 19, 1926","Newark, New Jersey",0.4,22.2,,45.5,10,,1.3,,-0.1,,Rider University,,1948 BAA Draf,Baltimore Bullets,,06-Jan,"Weequahic in Newark, New Jersey",Herb Krautblatt,Guard,Left,190lb
pearche01,"July 21, 1922",,0.2,22.2,,73.5,29,,2.5,,0.5,,Indiana State University,,,,,06-Jan,,Henry Pearcy,Guard,Right,170lb
kileyja01,"January 5, 1929",,1.2,22.7,,57.1,53,3.4,2.3,1,-1.8,,Syracuse University,13th overall,2nd round,Fort Wayne Pistons,1951,06-Jan,,Jack Kiley,Shooting Guard,Right,170lb
feigege01,"July 2, 1929",,1.1,22.8,,48.5,17,2.2,3.1,1.4,-0.6,,University of Kentucky,,,,,06-Jan,,George Feigenbaum,Point Guard,Right,185lb
passama01,"April 22, 1919","Gate, Washington",0.5,23.4,,58.3,53,,2.8,,-0.1,,Santa Clara University,,,,,06-Jan,"Galileo in San Francisco, California",Marty Passaglia,Guard,Right,170lb
pearcge01,"July 2, 1919",,0.4,23.8,,72.7,37,,2.5,,1.4,,Indiana State University,,,,,06-Jan,"Martinsville in Martinsville, Indiana",George Pearcy,Guard,Right,165lb
bytzumi01,"June 18, 1922",,0.5,24.4,,50,60,,3.5,,-1.4,,Long Island University,,,,,06-Jan,"Duquesne in Pittsburgh, Pennsylvania",Michael Bytzura,Forward,Right,170lb
applike01,"February 13, 1992","Detroit, Michigan",0.2,25,0,100,5,-4.8,1.2,0.2,-0.1,25,Michigan State University,,,,,06-Jan,"Pershing in Detroit, Michigan",Keith Appling,Point Guard,Right,185lb
boydde01,"May 21, 1954","Portsmouth, Virginia",1.4,25,,,5,-4,1.2,0.4,-0.2,,University of Detroit Mercy,72nd overall,4th round,New Orleans Jazz,1977,06-Jan,"Roosevelt in New York, New York",Dennis Boyd,Point Guard,Right,175lb
gaineda01,"February 27, 1942",,0,25,100,50,3,4.8,3.3,3.3,-0.1,28.1,LeMoyne-Owen College,,,,,06-Jan,"Northeastern in Detroit, Michigan",David Gaines,Shooting Guard,Right,170lb
lauriha01,"November 2, 1944",,0.9,25,,63.6,9,0.6,1.4,1.7,0,25,Saint Peter's College,98th overall,8th round,Detroit Pistons,1968,06-Jan,"Lincoln in Jersey City, New Jersey",Harry Laurie,Guard,Right,178lb
hamilra01,"June 10, 1921","Fort Wayne, Indiana",1.7,25.5,,67,48,,6,,-1.4,,Indiana University,,,,,06-Jan,"Fort Wayne South in Fort Wayne, Indiana",Ralph Hamilton,Guard/Forward,Right,188lb
shippch01,"December 3, 1913",,2,25.5,,72.5,23,,4.7,,-0.6,,Catholic University of America,,,,,06-Jan,"Cathedral in Indianapolis, Indiana",Charley Shipp,Guard/Forward,Right,200lb
fabeljo01,"September 4, 1913",,0.1,26,,50,30,,2.1,,-0.2,,University of Pittsburgh,,,,,06-Jan,,Joe Fabel,Forward/Guard,Right,190lb
pastuge01,"July 13, 1922",,0.4,26.2,,54.3,39,,3.1,,0,,St. John's University,,,,,06-Jan,,George Pastushok,Guard,Right,195lb
putnado01,"November 13, 1922","Wray, Colorado",1.3,26.2,,62.1,216,,4.8,,2,,University of Denver,,,,,06-Jan,,Don Putman,Guard,Right,170lb
brascji01,"February 3, 1931","Brooklyn, New York",1.1,26.6,,79.4,20,7.6,3.9,1.2,-0.2,,New York University,,1952 NBA Draf,Syracuse Nationals,,06-Jan,"Abraham Lincoln HS in Brooklyn, New York",Jim Brasco,Guard,Right,170lb
windito01,"January 27, 1933",,3.6,26.7,,66.7,9,7.5,4,5.2,-0.2,,University of Wyoming,32nd overall,5th round,Detroit Pistons,1959,06-Jan,"Commerce in New York, New York",Tony Windis,Point Guard,Right,160lb
grayjo01,"September 9, 1993","Lake Charles, Louisiana",2.4,26.8,23.1,63.6,5,7.2,6.4,2,-0.2,30.5,Louisiana State University,,,,,06-Jan,"Wheatley HS in Houston, Texas",Josh Gray,Point Guard,Right,180lb
tonkoan01,"November 1, 1922","Barrackville, West Virginia",0.6,26.8,,66.7,17,,2.6,,-0.4,,Marshall University,1st overall,1st round,Providence Steamrollers,1948,06-Jan,"Union in Benwood, West Virginia",Andy Tonkovich,Guard,Right,185lb
hankice01,"January 6, 1922",,0.3,27.6,,61.6,80,,4.9,,3.4,,Oklahoma State University,,,,,06-Jan,,Cecil Hankins,Guard,Right,175lb
wallare01,"July 12, 1918","Simpson, Pennsylvania",1,27.8,,54.1,61,,9.1,,1.9,,University of Scranton,,,,,06-Jan,"Fells Township in Simpson, Pennsylvania",Red Wallace,Guard,Right,185lb
noszkst01,"September 9, 1920",,0.6,28,,66.7,110,,6,,2,,Duquesne University,,,,,06-Jan,,Stan Noszka,Guard,Right,185lb
simmojo01,"July 7, 1924","Birmingham, Alabama",0.5,28,,61.4,60,,5.3,,1.7,,New York University,,,,,06-Jan,,Johnny Simmons,Guard,Right,184lb
mullebo01,"November 1, 1922",,1,28.1,,62.7,54,,5.8,,2.1,,Fordham University,,,,,06-Jan,,Bob Mullens,Guard,Right,175lb
winklma01,"February 18, 1948",,0.6,28.1,50,62.5,23,2.1,2.1,0.9,-0.4,29.7,University of Louisiana at Lafayette,50th overall,3rd round,Milwaukee Bucks,1970,06-Jan,"Washington in Indianapolis, Indiana",Marv Winkler,Shooting Guard,Right,164lb
graywy01,"March 20, 1922",,0.7,28.3,,57,67,,5.4,,2,,Harvard University,,,,,06-Jan,"Akron South in Akron, Ohio",Wyndol Gray,Guard/Forward,Right,175lb
paigema01,"September 11, 1993","Cedar Rapids, Iowa",0.6,28.6,25,100,5,9.1,2.4,0.8,0,35.7,University of North Carolina,55th overall,2nd round,Brooklyn Nets,2016,06-Jan,"Linn-Marr in Marion, Iowa",Marcus Paige,Point Guard,Left,175lb
